用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,结果,由谁创建,创建日期,修改日期
10309,WordPress(#13),卢丹琦(#222),媒体图像的编辑,登录且处于“媒体库”中，点击所要编辑的图片，点击“编辑图像”按钮,"1. 点击向左翻转按钮
2. 点击向右翻转按钮
3. 点击上下翻转按钮
4. 点击左右翻转按钮
5. 点击撤销按钮
6. 点击取消撤销按钮
7. 拉伸图像操作
7.1. 输入超过原来数值的新尺寸，点击拉伸按钮
7.2. 输入小于原来数值的新尺寸，点击拉伸按钮
8. 点击还原原始图像，点击“还原”按钮
","1. 图像向左翻转
2. 图像向右翻转
3. 图像上下翻转
4. 图像左右翻转
5. 撤销至到前一状态
6. 恢复至刚才状态
7. 
7.1. 右侧出现红色叹号，图像被拉伸
7.2. 图像被拉伸
8. 提示：图像还原成功。
",通过,卢丹琦,2018/12/1,0000-00-00
10308,WordPress(#13),卢丹琦(#222),通过“媒体库”下“媒体库”界面对媒体进行添加,用户登录且处于“媒体库”界面，点击“添加”按钮，点击“选择文件”按钮,"1. 选择文件大小小于32 MB的文件
1.1. 选择后缀名为.jpg的文件
1.2. 选择后缀名为.png的文件
1.3. 选择后缀名为.txt的文件
1.4. 选择后缀名为.mp3的文件
1.5. 选择后缀名为.mp4的文件
1.6. 选择后缀名为.html的文件
2. 选择文件大小大于32 MB的文件
2.1. 选择后缀名为.jpg的文件
2.2. 选择后缀名为.png的文件
2.3. 选择后缀名为.txt的文件
2.4. 选择后缀名为.mp3的文件
2.5. 选择后缀名为.mp4的文件
2.6. 选择后缀名为.html的文件
","1. 
1.1. 添加成功,显示在媒体库中
1.2. 添加成功,显示在媒体库中
1.3. 添加成功,显示在媒体库中
1.4. 提示：无法将上传的文件移动至wp-content/uploads/2018/12
1.5. 添加成功,显示在媒体库中
1.6. 添加成功,显示在媒体库中
2. 
2.1. 提示：xxx（文件名）超过了站点的最大上传限制。
2.2. 提示：xxx（文件名）超过了站点的最大上传限制。
2.3. 提示：xxx（文件名）超过了站点的最大上传限制。
2.4. 提示：xxx（文件名）超过了站点的最大上传限制。
2.5. 提示：xxx（文件名）超过了站点的最大上传限制。
2.6. 提示：xxx（文件名）超过了站点的最大上传限制。
",通过,卢丹琦,2018/12/1,2018/12/1
10291,WordPress(#13),菜单定义模块(#232),验证插件删除功能,已登录，用户具有插件权限,"1. 插件处于启用状态
1.1. 点击停用
1.2. 点击删除
1.3. 点击确定
2. 插件处于停用状态状态
2.1. 点击删除
2.2. 点击确定
3. 批量删除插件
3.1. 点击的要删除插件前方的复选框（其中包含已启用的插件）
3.2. 将批量操作选为删除——点击应用
3.3. 点击的要删除插件前方的复选框(选中的插件都是已启用插件)
3.4. 将批量操作选为删除——点击应用
4. 使用Delete键删除插件
4.1. 点击要删除的插件前边的复选框
4.2. 点击Delete键
","1. 
1.1. 插件下方出现启用和删除选项，显示提示信息：插件已停用
1.2. 弹出提示框
1.3. 删除成功，插件闪现红色一下，显示提示信息：Blogger Importer被成功删除
2. 
2.1. 弹出提示框
2.2. 删除成功，插件闪现红色一下，显示提示信息：Blogger Importer被成功删除
3. 
3.1. 选中的插件前方的小框复选框出现√
3.2. 已启用的插件不会被删除，处于停用状态的插件删除成功，插件闪现红色一下，显示提示信息：BuddyPress被成功删除。
3.3. 选中的插件前方的小框复选框出现√
3.4. 选中的插件不会被删除
4. 
4.1. 要删除的插件前方的复选框中出现√
4.2. 无响应，不能删除
",通过,史素佳,2018/11/30,2018/12/5
10290,WordPress(#13),菜单定义模块(#232),验证插件启用功能,已登录，用户具有插件权限,"1. 点击插件
2. 启用单个插件
2.1. 选择BuddyPress插件——点击启用
2.2. 选择你好多莉插件——点击启用
2.3. 选择Blogger Importer插件——点击启用
3. 批量启用单个插件
3.1. 点击Blogger Importer插件和你好多莉插件前边的复选框
3.2. 将批量操作选择为启用——点击应用
4. 批量启用多个插件
4.1. 点击Blogger Importer插件和BuddyPress插件前边的复选框
4.2. 将批量操作选择为启用——点击应用
","1. 页面显示已安装插件
2. 
2.1. 显示提示信息：无法启用插件，因为它引起了一个致命错误（fatal error）。
2.2. 插件下方删除选项消失，出现停用选项，并显示提示信息：插件已启用
2.3. 插件下方删除选项消失，出现停用选项，并显示提示信息：插件已启用
3. 
3.1. 插件前边的复选框被选中，出现√
3.2. 选中的插件下方删除选项消失，出现停用选项，并显示提示信息：选中插件已启用。
4. 
4.1. 插件前边的复选框被选中，出现√
4.2. Blogger Importe下方删除选项消失，出现停用选项
BuddyPress插件下方选项无变化
显示提示信息：无法启用插件，因为它引起了一个致命错误（fatal error）
",通过,史素佳,2018/11/30,2018/12/11
10289,WordPress(#13),菜单定义模块(#232),验证安装插件功能,已登录，用户具有插件权限,"1. 点击插件——点击安装插件
2. 选择BuddyPress插件——点击现在安装
","1. 跳转到插件页面
2. 现在安装按钮变为正在安装，前边的小图标转动
",通过,史素佳,2018/11/30,2018/12/11
10272,WordPress(#13),文档类别管理模块(#231),验证媒体中修改项目信息功能,已登录，用户具有媒体权限，媒体中一存在该图像,"1. 点击媒体——点击项目中的一个图像
2. 选中URL框中的内容——键盘点击删除键
3. 鼠标点击标题后边的文本框
4. 输入标题春天
5. 鼠标点击其他位置
6. 鼠标再次点击标题后边文本框
6.1. 修改标题内容为夏天——鼠标点击其他位置
6.2. 不修改标题内容——鼠标点击其他位置
7. 点击右上角的>图标
8. 点击右上角的<图标
9. 点击查看附件页面
10. 点击浏览器的后退按钮——点击编辑详细信息
11. 在编辑媒体下方的文本框中内容修改为123——点击更新
12. 点击媒体——点击项目中的一个图像
13. 点击永久删除
14. 点击取消
15. 点击永久删除
16. 点击确定
","1. 跳转到附件详情界面
2. 无响应，URL框中内容未被删除
3. 光标闪动
4. 标题框中显示春天，光标在春天之后闪动
5. 标题文本框的光标消失，弹出提示消息：已保存
6. 光标在点击处闪动
6.1. 标题文本框的光标消失，弹出提示消息：已保存
6.2. 不显示任何内容
7. 媒体项目切换到下一个项目
8. 媒体项目回到到当前项目
9. 页面跳转到该附件所在页面
10. 页面跳转到编辑详细信息页
11. 显示提示信息：媒体文件已更新
12. 跳转到附件详情界面
13. 弹出提示信息
14. 弹出框消失，删除失败
15. 弹出提示信息
16. 跳转到媒体库页
",阻塞,史素佳,2018/11/30,2018/12/11
10271,WordPress(#13),文档类别管理模块(#258),检验“编辑文章”界面中的“摘要”设置,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.打开右侧设置界面","1. 点击“写一篇摘要（可选）”下的文本框
1.1. 在文本框内输入“abc”
1.2. 删除文本框内的“abc”
2. 点击“详细了解手动摘要(opens in a new tab)”按键
","1. 光标停留在“写一篇摘要（可选）”下的文本框
1.1. 右上角“保存草稿”“预览”“发布”按键被激活
1.2. 右上角“保存草稿”“预览”“发布”按键失效
2. 跳转到了解手动摘要的详细界面
",阻塞,韦士杰,2018/11/30,2018/12/11
10270,WordPress(#13),文档类别管理模块(#258),检验“编辑文章”界面中的“特色图片”设置,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.打开右侧设置界面，打开“特色图片”下拉框","1. 点击“设置特色图片”选项
2. 点击“上传文件”选项
2.1. 点击“选择文件”
2.2. 选择一个小于32MB的jpg文件，并且点击“打开”
2.3. 选择一个大于32MB的mp4文件，并且点击“打开”
3. 点击“媒体库”，选中媒体库中的文件，点击“选择”
4. 点击“取消特色图片”选项（红色字体）
","1. 出现“特色图片”界面
2. 
2.1. 打开电脑文档库
2.2. 上传到媒体库
2.3. mp4文件超过了站点的最大上传限制
3. 图片出现在“特色图片”下拉框内
4. 图片被删除，恢复到原始界面，仅剩“设置特色图片”按键
",阻塞,韦士杰,2018/11/30,2018/12/11
10269,WordPress(#13),文档类别管理模块(#258),检验“编辑文章”界面的“标签”设置,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.打开右侧设置界面，点击“标签”选项，打开“标签”下拉框","1. 在“添加新标签”下的文本框输入“abc”，回车
2. 继续输入“ewew”，回车
3. 摁退格键
","1. 新增标签“abc”
2. 新增标签“ewew”
3. 删除标签
",通过,韦士杰,2018/11/30,0000-00-00
10268,WordPress(#13),文档类别管理模块(#258),检验“编辑文章”界面中的“分类目录”设置,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.打开右侧设置界面，打开“分类目录”下拉框","1. 点击“未分类”选项
2. 点击“添加新分类”
3. 在“添加新分类”新文本框内输入“abc”
4. 点击“父级分类目录”选项
5. 点击“添加新分类”按键
","1. “未分类”选项前打√
2. 出现“添加新分类”框
3. “添加新分类”新文本框内输出“abc”
4. 出现下拉框，点击“未分类”选项
5. “未分类”选项下出现新分类：“bac”（已打√）
",阻塞,韦士杰,2018/11/30,2018/12/11
10267,WordPress(#13),内容发布模块(#257),验证能否发布空文章,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面","1. 直接点击发布
","1. 文章发布成功；返回提示信息：文章已发布。 查看文章
",通过,韦士杰,2018/11/30,2018/12/5
10266,WordPress(#13),文档类别管理模块(#258),检验“编辑文章”界面中的“状态和可见性”设置,"1.已经成功登录，并进入仪表盘界面
2.点击左侧菜单栏中“文章”下拉框中的“写文章”按键，进入“编辑文章”界面
3.打开右侧设置界面","1. 点击“可见性”后的“公开”按键
1.1. 点击“公开”选项
1.2. 点击“私密”选项
1.3. 点击“密码保护”选项
1.4. 再次点击“可见性”后的“公开”按键
2. 点击“发布”后的“立即”选项
3. 再次点击“发布”后的“立即”选项
4. 点击“文章形式”后的“标准选项”，打开“文章形式”下拉框
5. 点击“坚持头版”选项
6. 点击“等待复审”选项
7. 再次点击“等待复审”选项
","1. 
1.1. 公众可见（界面不变）
1.2. 界面出现弹窗“您现在想发布这私密篇文章吗？   确定/取消”
1.3. “密码保护”选项下方出现文本框“使用安全密码”（可输入想要设置的密码）
1.4. 下拉框消失
2. 出现可设置的日历表，包括（月份，日期，年份，当天时间，上午/下午）
3. 日历表消失
4. 下拉框包括（日志，画廊，链接，图像，引语，标准，视频，音频，聊天）
5. “坚持头版”选项前打√
6. “等待复审”选项前打√，“发布”后的时间改为“11月 30, 2018 1:59 下午”
7. “等待复审”选项前的√消失，“发布”后的时间变回“立即”
",阻塞,韦士杰,2018/11/30,0000-00-00
10264,WordPress(#13),文档类别管理模块(#231),验证媒体项目中图像的编辑功能,已登录，用户具有媒体权限,"1. 点击媒体——选中一个图像媒体——点击
2. 点击编辑图像
3. 单击向左旋转
4. 点击向右翻转
5. 点击上下翻转
6. 点击左右翻转
7. 点击撤销按钮
8. 点击取消撤销按钮
9. 修改图像的尺寸
9.1. 将尺寸向大修改
9.2. 将尺寸向小修改
9.3. 点击拉伸
9.4. 点击确定
9.5. 点击拉伸
10. 点击还原原始图像
11. 点击还原图像按钮
12. 点击图像裁切后边的问号
13. 选中图像的要裁切的区域
14. 修改选中区域的长宽比
14.1. 第一个框输入1，第二个输入1
14.2. 第一个框输入0.5
14.3. 第一个框输入2，第二个输入3
14.4. 第一个框输入1.5，第二个框输入1.6
15. 点击上方的裁切图标
","1. 弹出附件详情框
2. 页面转换到编辑图像界面
3. 图像向左翻转
4. 图像向右翻转
5. 图像上下翻转
6. 图像左右翻转
7. 图像会回到前一个状态
8. 图想回到后一个状态
9. 
9.1. 尺寸框后边出现红色感叹号
9.2. 可以修改
9.3. 弹出提示信息：未保存的更改将丢失。按“确定”以继续，按“取消”可返回“图片编辑器”。
9.4. 保存成功
9.5. 拉伸成功，图片变为拉伸后的尺寸
10. 显示还原图像按钮
11. 图像还原为最原始的状态
12. 展开提示信息
13. 被选中区域变亮，图像上方的裁切按钮颜色可以使用
14. 图像被选中的区域变为指定长宽比
14.1. 图像被选中的区域变为指定长宽比
14.2. 0和.消失，框中仅显示5
14.3. 第二个框不能输入3
14.4. 图像被选中的区域变为指定长宽比
15. 图像裁切成功
",通过,史素佳,2018/11/30,2018/11/30
10263,WordPress(#13),用户模块(#294),删除已存在的用户,在用户模块下，所有用户栏中,"1. 删除非当前且未发布文章的非管理员用户
1.1. 鼠标在要删除的用户处停留
1.2. 点击删除超链接
1.3. 点击确认删除按钮
2. 删除非当前且非管理员但发布过文章的用户
2.1. 鼠标在要删除的用户处停留
2.2. 点击删除超链接
2.3. 选择删除所有内容项
2.4. 点击确认删除按钮
3. 删除非当前且非管理员但发布过文章的用户
3.1. 鼠标在要删除的用户处停留
3.2. 点击删除超链接
3.3. 选择“将这些内容的作者修改为”，随意选择一用户
3.4. 点击确认删除按钮
4. 删除非当前且为发布过文章的管理员用户
4.1. 鼠标在要删除的用户处停留
4.2. 点击删除超链接
4.3. 点击确认删除按钮
5. 通过单个操作删除当前用户
5.1. 鼠标在当前用户处停留
6. 通过批量操作删除当前用户
6.1. 勾选当前用户
6.2. 选择操作下拉菜单中的删除操作，点击应用
","1. 
1.1. 用户下方出现删除文字超链接
1.2. 页面跳转至删除用户确认界面
1.3. 显示用户已删除
2. 
2.1. 用户下方出现删除文字超链接
2.2. 页面跳转至删除用户确认界面，确认删除按钮显示灰色，不可食用
提示：如何处理该用户名下的内容？
2.3. 确认删除按钮变为蓝色，可使用
2.4. 页面跳转至所有用户界面，被删除用户消失
所有文章界面中，该用户对应的文章删除
3. 
3.1. 用户下方出现删除文字超链接
3.2. 页面跳转至删除用户确认界面，确认删除按钮显示灰色，不可食用
提示：如何处理该用户名下的内容？
3.3. 确认删除按钮变为蓝色，可使用
3.4. 页面跳转至所有用户界面，被删除用户消失，
所有文章页面中，该用户对应的文章存在
4. 
4.1. 用户下方出现删除文字超链接
4.2. 页面跳转至删除用户确认界面
4.3. 显示用户已删除
5. 
5.1. 用户下方出现的文字超链接中不含“删除”选项
6. 
6.1. 
6.2. 页面跳转至删除用户页面
提示：没有可供删除的有效用户。
删除用户失败
",阻塞,沈梦琪,2018/11/30,2018/12/11
10262,WordPress(#13),用户模块(#294),编辑已存在的用户,在用户模块下，所有用户栏中，用户为订阅者角色,"1. 鼠标在要编辑的用户处停留
2. 点击编辑超链接
3. 更改用户设置：更改用户角色为作者
4. 点击更新用户
","1. 用户下方出现编辑文字超链接
2. 页面跳转至编辑用户界面
3. 
4. 标题上方显示已更新用户
",阻塞,沈梦琪,2018/11/30,2018/12/11
10261,WordPress(#13),用户模块(#250),所有用户中用户角色的更改,"登录时的用户admin
新创建的用户admin1、admin2、admin3","1. 将admin的角色更改为作者
2. 将新创建的用户admin1更改角色为作者
3. 将admin用户设置为管理员
","1. 当前用户角色必须有用户编辑权。其他用户的角色已更改（当前用户无法修改）
2. 角色可以更改
3. 角色可以更改
",通过,岳哲伟,2018/11/30,2018/12/5
10260,WordPress(#13),用户模块(#294),添加邮箱错误的用户,,"1. 填写一个未注册过的用户名：shentete
2. 填写一个错误形式的邮箱：@163.com
3. 点击添加用户
","1. 
2. 
3. 提示邮箱无效
",阻塞,沈梦琪,2018/11/30,2018/12/11
10259,WordPress(#13),用户模块(#294),添加用户名重复的用户,,"1. 填写一个注册过的用户名
2. 填写一个正确邮箱
3. 点击添加用户
","1. 
2. 
3. 提示用户名已被注册
",通过,沈梦琪,2018/11/30,2018/11/30
10258,WordPress(#13),用户模块(#294),正常添加用户,,"1. 填写一个未注册过的用户名，填写一个未注册过的正确邮箱，点击添加用户
","1. 用户添加成功
",通过,沈梦琪,2018/11/30,2018/12/11
10253,WordPress(#13),Settings模块(#251),媒体中图像大小测试,打开Settings中的媒体,"1. 设置缩略图的宽度和高度为
1.大于2147483645
2.等于2147483645
3.小于2147483645
2. 将缩略图的宽度跟高度设置为0
3. 设置中等大小的宽度和高度为
1.大于2147483645
2.等于2147483645
3.小于2147483645
4. 将中等大小的宽度跟高度设置为0
5. 设置大尺寸的宽度和高度为
1.大于2147483645
2.等于2147483645
3.小于2147483645
6. 将大尺寸的宽度跟高度设置为0
","1. 缩略图的宽度和高度最大尺寸为2147483645
2. 设置可以保存
3. 中等大小的宽度和高度最大尺寸为2147483645
4. 设置可以保存
5. 大尺寸的宽度和高度最大尺寸为2147483645
6. 设置可以保存
",通过,岳哲伟,2018/11/30,0000-00-00
10252,WordPress(#13),媒体模块(#274),测试媒体库筛选,进入媒体模块，添加媒体，媒体库下至少有一个文件,"1. 点击项目分类，选择其中一个分类，不选择时间
2. 点击时间分类，选择一个时间段，不选择项目分类
3. 点击项目分类，选择其中一个类，点击时间分类，选择一个时间段
","1. 筛选出该分类的所有文件
2. 筛选出该时间段内所有上传的文件
3. 筛选出该时间段内所有属于该分类的文件
",通过,刘江,2018/11/30,2018/12/11
10251,WordPress(#13),插件(#289),安装未安装插件,位于插件模块，安装插件栏下,"1. 选择要安装的插件，点击现在安装按钮
","1. 插件安装成功
",通过,沈梦琪,2018/11/30,2018/11/30
10250,WordPress(#13),内容发布模块(#257),验证“编辑文章”界面的撤销功能,"1.已经成功登录，并进入仪表盘界面
2.点击菜单栏中“文章”下拉框中的“写文章”按键
3.进入编辑文章界面","1. 1.在“添加标题”文本框内输入“adfa   df，anfa”，然后点击界面左上角“撤销”按键（Ctrl+Z）
2. 1.点击“添加文字或输入/添加内容”，然后Ctrl+Z
3. 1.点击“添加文字或输入/添加内容”，输入“dsdsds”，然后Ctrl+Z按两次
","1. 添加标题”文本框内输出“adfa   df，anfa”，然后“添加标题”文本框内的“adfa   df，anfa”清空
2. 光标停留在段落空白位置，然后撤回为初始界面（点击段落框也算一次操作）
3. 段落框输出“dsdsds”，两次撤回后，回到初始界面
",,韦士杰,2018/11/30,2018/11/30
10249,WordPress(#13),页面模块(#275),对添加媒体页面下媒体库的操作,登录成功，进入页面模块，点击新建页面，进入添加媒体界面，点击进入进入媒体库，媒体库里面存在一个媒体文件test,"1. 点击媒体文件test
2. 选择媒体文件test，选择插入至页面
","1. 出现该文件的信息详情
2. 新建一个页面，将该文件插入至该页面
",通过,刘江,2018/11/30,2018/12/11
10248,WordPress(#13),文档类别管理模块(#231),媒体中添加项目在无网络的状态是否可以成功,已登录，用户具有媒体权限，网络未连接,"1. 点击媒体——点击添加
2. 点击上传文件
3. 选择符合要求的文件——点击打开
","1. 页面中出现上传文件的框
2. 弹出本地文件窗口
3. 文件上传成功
",通过,史素佳,2018/11/30,0000-00-00
10247,WordPress(#13),插件(#289),删除已安装插件,位于插件模块，已安装的插件栏下,"1. 删除正在使用的插件
1.1. 插件下方没有删除按钮
1.2. 点击停用按钮
1.3. 点击删除按钮
1.4. 点击确认按钮
2. 删除未启用的插件
2.1. 点击删除按钮
2.2. 点击确认按钮
","1. 
1.1. 
1.2. 题目下方显示插件已停用
1.3. 弹出确认删除弹框
1.4. 点击确认按钮
2. 
2.1. 弹出确认删除弹框
2.2. 插件删除成功
",通过,沈梦琪,2018/11/30,2018/11/30
10246,WordPress(#13),文档类别管理模块(#231),验证媒体中上传的文件路径是否可以手动输入,已登录，用户具有媒体权限,"1. 手动输入正确的文件路径
1.1. 点击媒体——点击添加
1.2. 在文件目录框中输入存在且满足格式的文件asd.jpg——点击打开
2. 手动输入错误的文件路径
2.1. 点击媒体——点击添加
2.2. 在文件目录框中输入不存在但满足格式的文件2.jpg——点击打开
","1. 
1.1. 弹出本地文件窗口
1.2. 文件上传成功，下方媒体项目中正常显示图片
2. 
2.1. 弹出本地文件窗口
2.2. 弹出提示框：2.jpg，系统找不到文件。请检查文件名是否正确，然后重试。
",通过,史素佳,2018/11/30,0000-00-00
10245,WordPress(#13),插件(#289),停用已启用插件,位于插件模块，已安装插件，启用目录下,"1. 点击已启用插件的停用文字超链接
","1. 题目下方显示插件已停用
",通过,沈梦琪,2018/11/30,2018/11/30
10244,WordPress(#13),插件(#289),启用已安装插件,位于插件模块下，已安装插件栏，未启用目录下,"1. 点击启用文字超链接
","1. 题目下方显示插件已启用
",通过,沈梦琪,2018/11/30,2018/11/30
10243,WordPress(#13),文章(#286),删除文章分类目录,位于文章模块下，分录目录栏，存在分类目录,"1. 删除分类目录
1.1. 点击分类目录下的删除文字超链接
1.2. 点击确认按钮
2. 取消删除分类目录
2.1. 点击分类目录下的删除文字超链接
2.2. 点击取消按钮
","1. 
1.1. 弹出确认删除弹框
1.2. 目录已删除，但目录下文章未删除
2. 
2.1. 弹出确认删除弹框
2.2. 目录未删除
",通过,沈梦琪,2018/11/30,2018/11/30
10242,WordPress(#13),文章(#286),进入文章分类目录编辑界面的不同方式是否有效,位于文章模块下，分录目录栏，存在分类目录,"1. 编辑分类目录
1.1. 点击分类目录下的编辑文字超链接
1.2. 对分类目录进行更改（例如：更改名称为catalog1）
1.3. 点击更新按钮
2. 快速编辑分类目录
2.1. 点击分类目录下的快速编辑文字超链接
2.2. 对可编辑条目进行编辑（例如：更改名称为catalog2）
2.3. 点击更新分类目录按钮
3. 取消修改分类目录
3.1. 点击分类目录下的快速编辑文字超链接
3.2. 对可编辑条目进行编辑（例如：更改名称为catalog1）
3.3. 点击取消按钮
","1. 
1.1. 页面跳转至分类目录编辑页面
1.2. 
1.3. 标题下方显示分类已更新
2. 
2.1. 出现名称和别名两条可编辑条目
2.2. 
2.3. 分类目录已修改
3. 
3.1. 出现名称和别名两条可编辑条目
3.2. 
3.3. 可编辑条目收起，目录未修改
",通过,沈梦琪,2018/11/30,2018/12/11
10241,WordPress(#13),文章(#286),添加文章分类目录,位于文章模块下，分类目录栏,"1. 添加含有名称、别名、父级目录、图像描述的分类目录
1.1. 填写分类目录名称为“test”，填写分类目录别名为“test-catalog”，选择父级分类目录为“未分类”，填写图片描述为“test分类目录图像描述”
1.2. 点击添加新分类目录按钮
2. 添加只不含图像描述的分类目录
2.1. 填写分类目录名称为“test1”，填写分类目录别名为“test1-catalog”，选择父级分类目录为“未分类”，不填写图片描述
2.2. 点击添加新分类目录按钮
3. 添加没有父级分类的分类目录
3.1. 填写分类目录名称为“test2”，填写分类目录别名为“test2-catalog”，选择父级分类目录为“无”，填写图片描述为“test2分类目录图像描述”
4. 添加只不含分类目录别名的分类目录
4.1. 填写分类目录名称为“test3”，不填写分类目录别名，选择父级分类目录为“未分类”，填写图片描述为“test3分类目录图像描述”
4.2. 点击添加新分类目录按钮
5. 添加只不含分类目录名称的分类目录
5.1. 不填写分类目录名称，填写分类目录别名为“test4-catalog”，选择父级分类目录为“未分类”，填写图片描述为“tes4t分类目录图像描述”
5.2. 点击添加新分类目录按钮
6. 同级父类目录下添加同名称分类目录
6.1. 填写分类目录名称为“test”，填写分类目录别名为“test-catalog”，选择父级分类目录为“未分类”，填写图片描述为“test分类目录图像描述”
6.2. 点击添加新分类目录按钮
7. 同级分类目录下添加大小写不一致的同名分类目录
7.1. 填写分类目录名称为“Test”，填写分类目录别名为“test-catalog”，选择父级分类目录为“未分类”，填写图片描述为“test分类目录图像描述”
7.2. 点击添加新分类目录按钮
8. 相同父级分类目录下添加名称相同，别名不同的分类目录
8.1. 填写分类目录名称为“test”，填写分类目录别名为“test-catalog2”，选择父级分类目录为“未分类”，填写图片描述为“test分类目录图像描述”
8.2. 点击添加新分类目录按钮
9. 不同父级分类目录下添加同名分类目录
9.1. 填写分类目录名称为“test”，填写分类目录别名为“test-catalog”，选择父级分类目录为“无”，填写图片描述为“test分类目录图像描述”
9.2. 点击添加新分类目录按钮
","1. 
1.1. 
1.2. 右侧分类目录处出现新建的分类目录
2. 
2.1. 
2.2. 右侧分类目录处出现新建的分类目录
3. 
3.1. 
4. 
4.1. 
4.2. 右侧分类目录处出现新建的分类目录
5. 
5.1. 
5.2. 目录名称框标红
6. 
6.1. 
6.2. 未新建分类目录，标题下方提示：“父项目中已存在同名项目”
7. 
7.1. 
7.2. 右侧分类目录处出现新建的分类目录
8. 
8.1. 
8.2. 未新建分类目录，标题下方提示：“父项目中已存在同名项目”
9. 
9.1. 
9.2. “未分类”分类目录下出现test1分类目录
",通过,沈梦琪,2018/11/30,2018/12/11
10240,WordPress(#13),页面模块(#275),对创建页面下添加媒体的操作,登录成功，进入页面模块，点击新建页面，进入添加媒体，添加文件大小必须小于32MB大小,"1. 点击添加媒体，点击上传文件
2. 2.1、点击添加媒体，点击上传文件
2.2、选择符合要求图片文件，点击打开
2.3、选择符合要求视频文件、点击打开
2.4、选择符合要求文档文件、点击打开
2.5、选择符合要求音频文件，点击打开
3. 3.1、点击添加媒体，点击上传文件
3.2、选择超过32MB大小的图片，点击打开
3.3、选择超过32MB大小的视频，点击打开
3.4、选择超过32MB大小的音频，点击打开
3.5、选择超过32MB大小的文档，点击打开
","1. 弹出上传文件界面
2.  成功上传
3. 上传失败，提示无法上传
",通过,刘江,2018/11/30,2018/12/11
10239,WordPress(#13),文章(#286),编辑文章的属性,位于文章模块，写文章栏下,"1. 编辑文章的状态属性并保存
1.1. 点击状态属性处的编辑文字链接，更改文章状态为“等待复审”，点击确定
2. 编辑文章的状态属性并取消
2.1. 点击状态属性处的编辑文字链接，更改文章状态为“等待复审”，点击取消
3. 将公开度改为公开
3.1. 点击公开度属性处的编辑文字链接，选择公开，点击确定
4. 选择公开将文章置顶
4.1. 点击公开度属性处的编辑文字链接，点击公开，选择公开中“将文章置于首页顶端”选项，点击确定
5. 将公开度改为密码保护
5.1. 点击公开度属性处的编辑文字链接，选择密码保护，输入密码，点击确定
6. 将公开度改为密码保护，不输入密码
6.1. 点击公开度属性处的编辑文字链接，选择密码保护，不输入密码，点击确定
7. 修改立即发布属性
7.1. 点击立即发布属性处的编辑文字链接，修改发布时间为当下或以后的时间，点击确定
8. 修改立即发布属性为过去时间
8.1. 点击立即发布属性处的编辑文字链接，修改发布时间为过去时间，点击确定
","1. 
1.1. 文章状态改变
2. 
2.1. 文章状态未改变
3. 
3.1. 公开度为“公开”
4. 
4.1. 公开度为“公开、置顶”
5. 
5.1. 公开度为“密码保护”
6. 
6.1. 提示输入密码不能为空
7. 
7.1. 发布时间更改为修改时间
8. 
8.1. 发布时间更改为修改时间
",失败,沈梦琪,2018/11/30,2018/12/11
10238,WordPress(#13),卢丹琦(#222),文章的发布,登录且处于“写文章”界面，文章的标题和内容已经填写完毕,"1. 点击右上角“发布”按钮，确认后再点击“发布按钮”
","1. 提示：Post published.
",通过,卢丹琦,2018/11/30,2018/12/11
10237,WordPress(#13),Settings模块(#251),撰写的内容的删除,在Settings一栏中打开撰写，邮件服务器填写1084170857@qq.com，登录名admin，密码123456,"1. 1.将邮件服务器中的1084170857@qq.com删除置空
2.将登录名删除置空
3.将密码删除置空
4.点击保存更改
","1. 设置已保存
",通过,岳哲伟,2018/11/30,2018/12/11
10236,WordPress(#13),卢丹琦(#222),文章的预览,登录且处于“写文章”界面，文章的标题和内容已经填写完毕,"1. 点击右上角“预览”按钮
","1. 弹出新窗口，展示本文章的预览效果
",通过,卢丹琦,2018/11/30,2018/12/11
10235,WordPress(#13),卢丹琦(#222),设置文章的字体格式,登录且处于“写文章”界面,"1. 编辑好文章，点击“加粗”按钮
2. 编辑好文章，点击“斜体”按钮
3. 编辑好文章，点击“删除线”按钮
4. 编辑好文章，用“Ctrl+A”全选段落，点击“加粗”按钮
5. 编辑好文章，用“Ctrl+A”全选段落，点击“斜体”按钮
6. 编辑好文章，用“Ctrl+A”全选段落，点击“删除线”按钮
","1. 无效果
2. 无效果
3. 无效果
4. 段落中所有文字被加粗，按钮底色变灰
5. 段落中所有文字倾斜，按钮底色变灰
6. 段落中所有文字上显示删除线，按钮底色变灰
",通过,卢丹琦,2018/11/30,0000-00-00
